Frame Number	Class	Confidence	X	Y	Width	Height
7	person	0.76	115	19	1059	680
7	person	0.69	291	8	890	703
7	person	0.65	452	7	781	705
9	person	0.95	39	20	1025	690
9	person	0.94	150	22	968	685
9	person	0.69	372	30	735	669
9	person	0.52	445	19	775	684
10	person	0.69	48	9	1139	629
10	person	0.97	24	15	1078	675
10	person	1.00	41	21	1167	661
10	person	0.90	293	21	873	663
11	person	0.93	2	19	1115	670
11	person	0.98	99	20	1043	664
11	person	0.84	383	9	730	683
12	person	0.89	36	20	1041	694
12	person	0.94	143	11	969	711
12	person	0.71	397	7	701	717
14	person	0.90	124	17	1034	684
14	person	0.92	349	10	785	697
14	person	0.82	491	0	712	719
